country_name,year,beginning_stockpile,coffee_type,production_month
Angola,1990/91,210.0,(R/A),April
Bolivia,1990/91,54.0,(A),April
Brazil,1990/91,26926.0,(A/R),April
Burundi,1990/91,77.0,(A),April
Ecuador,1990/91,723.963,(A/R),April
Indonesia,1990/91,1319.0,(R/A),April
Madagascar,1990/91,544.0,(R),April
Malawi,1990/91,20.0,(A),April
Papua New Guinea,1990/91,199.0,(A/R),April
Paraguay,1990/91,188.0,(A),April
Peru,1990/91,318.0,(A),April
Rwanda,1990/91,134.0,(A),April
Timor-Leste,1990/91,0.0,(A),April
Zimbabwe,1990/91,160.0,(A),April
"Congo, Rep. of",1990/91,12.0,(R),July
Cuba,1990/91,265.7,(A),July
Dominican Republic,1990/91,560.0,(A),July
Haiti,1990/91,47.0,(A),July
Philippines,1990/91,1223.0,(R/A),July
Tanzania,1990/91,450.0,(A/R),July
Zambia,1990/91,1.0,(A),July
Benin,1990/91,0.0,(R),October
Cameroon,1990/91,1344.0,(R/A),October
Central African Republic,1990/91,55.0,(R),October
Colombia,1990/91,6095.0,(A),October
"Congo, Dem. Rep. of",1990/91,116.0,(R/A),October
Costa Rica,1990/91,343.0,(A),October
Côte d'Ivoire,1990/91,4796.0,(R),October
El Salvador,1990/91,245.0,(A),October
Equatorial Guinea,1990/91,2.0,(R),October
Ethiopia,1990/91,2800.0,(A),October
Gabon,1990/91,2.0,(R),October
Ghana,1990/91,4.0,(R),October
Guatemala,1990/91,77.0,(A/R),October
Guinea,1990/91,45.0,(R),October
Guyana,1990/91,0.0,(R),October
Honduras,1990/91,101.198,(A),October
India,1990/91,826.0,(R/A),October
Jamaica,1990/91,0.0,(A),October
Kenya,1990/91,766.333,(A),October
"Lao, People's Dem. Rep. of",1990/91,0.0,(R),October
Liberia,1990/91,0.0,(R),October
Mexico,1990/91,974.0,(A),October
Nepal,1990/91,0.0,(A),October
Nicaragua,1990/91,56.0,(A),October
Nigeria,1990/91,0.0,(R),October
Panama,1990/91,18.0,(A),October
Sierra Leone,1990/91,127.0,(R),October
Sri Lanka,1990/91,10.0,(R),October
Thailand,1990/91,71.0,(R/A),October
Togo,1990/91,59.0,(R),October
Trinidad & Tobago,1990/91,5.0,(R),October
Uganda,1990/91,3100.0,(R/A),October
Venezuela,1990/91,142.0,(A),October
Vietnam,1990/91,181.0,(R/A),October
Yemen,1990/91,0.0,(A),October
Angola,1991/92,161.0,(R/A),April
Bolivia,1991/92,39.8,(A),April
Brazil,1991/92,25548.0,(A/R),April
Burundi,1991/92,150.0,(A),April
Ecuador,1991/92,250.0,(A/R),April
Indonesia,1991/92,798.0,(R/A),April
Madagascar,1991/92,450.0,(R),April
Malawi,1991/92,19.0,(A),April
Papua New Guinea,1991/92,146.0,(A/R),April
Paraguay,1991/92,135.0,(A),April
Peru,1991/92,61.0,(A),April
Rwanda,1991/92,9.0,(A),April
Timor-Leste,1991/92,0.0,(A),April
Zimbabwe,1991/92,118.2,(A),April
"Congo, Rep. of",1991/92,11.0,(R),July
Cuba,1991/92,289.0,(A),July
Dominican Republic,1991/92,640.0,(A),July
Haiti,1991/92,30.0,(A),July
Philippines,1991/92,1344.0,(R/A),July
Tanzania,1991/92,408.053,(A/R),July
Zambia,1991/92,0.0,(A),July
Benin,1991/92,0.0,(R),October
Cameroon,1991/92,1086.0,(R/A),October
Central African Republic,1991/92,59.0,(R),October
Colombia,1991/92,6916.0,(A),October
"Congo, Dem. Rep. of",1991/92,17.0,(R/A),October
Costa Rica,1991/92,120.0,(A),October
Côte d'Ivoire,1991/92,3352.0,(R),October
El Salvador,1991/92,512.3,(A),October
Equatorial Guinea,1991/92,4.0,(R),October
Ethiopia,1991/92,3660.0,(A),October
Gabon,1991/92,2.0,(R),October
Ghana,1991/92,10.0,(R),October
Guatemala,1991/92,244.557,(A/R),October
Guinea,1991/92,10.0,(R),October
Guyana,1991/92,0.0,(R),October
Honduras,1991/92,54.0,(A),October
India,1991/92,1277.0,(R/A),October
Jamaica,1991/92,0.0,(A),October
Kenya,1991/92,552.067,(A),October
"Lao, People's Dem. Rep. of",1991/92,0.0,(R),October
Liberia,1991/92,0.0,(R),October
Mexico,1991/92,748.0,(A),October
Nepal,1991/92,0.0,(A),October
Nicaragua,1991/92,63.162,(A),October
Nigeria,1991/92,0.0,(R),October
Panama,1991/92,40.0,(A),October
Sierra Leone,1991/92,74.0,(R),October
Sri Lanka,1991/92,6.0,(R),October
Thailand,1991/92,207.0,(R/A),October
Togo,1991/92,38.5,(R),October
Trinidad & Tobago,1991/92,0.0,(R),October
Uganda,1991/92,2900.0,(R/A),October
Venezuela,1991/92,350.0,(A),October
Vietnam,1991/92,195.0,(R/A),October
Yemen,1991/92,0.0,(A),October
Angola,1992/93,136.0,(R/A),April
Bolivia,1992/93,33.4,(A),April
Brazil,1992/93,22625.0,(A/R),April
Burundi,1992/93,53.108,(A),April
Ecuador,1992/93,552.207,(A/R),April
Indonesia,1992/93,2427.0,(R/A),April
Madagascar,1992/93,403.3,(R),April
Malawi,1992/93,19.0,(A),April
Papua New Guinea,1992/93,95.0,(A/R),April
Paraguay,1992/93,115.0,(A),April
Peru,1992/93,100.0,(A),April
Rwanda,1992/93,10.0,(A),April
Timor-Leste,1992/93,0.0,(A),April
Zimbabwe,1992/93,98.0,(A),April
"Congo, Rep. of",1992/93,11.0,(R),July
Cuba,1992/93,219.0,(A),July
Dominican Republic,1992/93,300.0,(A),July
Haiti,1992/93,30.0,(A),July
Philippines,1992/93,1554.0,(R/A),July
Tanzania,1992/93,386.772,(A/R),July
Zambia,1992/93,1.0,(A),July
Benin,1992/93,0.0,(R),October
Cameroon,1992/93,991.0,(R/A),October
Central African Republic,1992/93,64.0,(R),October
Colombia,1992/93,7864.0,(A),October
"Congo, Dem. Rep. of",1992/93,21.0,(R/A),October
Costa Rica,1992/93,229.345,(A),October
Côte d'Ivoire,1992/93,3574.0,(R),October
El Salvador,1992/93,354.43,(A),October
Equatorial Guinea,1992/93,2.0,(R),October
Ethiopia,1992/93,4652.0,(A),October
Gabon,1992/93,1.122,(R),October
Ghana,1992/93,43.0,(R),October
Guatemala,1992/93,153.317,(A/R),October
Guinea,1992/93,10.0,(R),October
Guyana,1992/93,0.0,(R),October
Honduras,1992/93,318.342,(A),October
India,1992/93,1253.0,(R/A),October
Jamaica,1992/93,8.0,(A),October
Kenya,1992/93,617.033,(A),October
"Lao, People's Dem. Rep. of",1992/93,0.0,(R),October
Liberia,1992/93,0.0,(R),October
Mexico,1992/93,985.0,(A),October
Nepal,1992/93,0.0,(A),October
Nicaragua,1992/93,39.6,(A),October
Nigeria,1992/93,0.0,(R),October
Panama,1992/93,60.832,(A),October
Sierra Leone,1992/93,45.0,(R),October
Sri Lanka,1992/93,1.0,(R),October
Thailand,1992/93,273.0,(R/A),October
Togo,1992/93,154.0,(R),October
Trinidad & Tobago,1992/93,4.293,(R),October
Uganda,1992/93,2900.0,(R/A),October
Venezuela,1992/93,362.545,(A),October
Vietnam,1992/93,85.0,(R/A),October
Yemen,1992/93,0.0,(A),October
Angola,1993/94,111.0,(R/A),April
Bolivia,1993/94,25.2,(A),April
Brazil,1993/94,28921.0,(A/R),April
Burundi,1993/94,0.0,(A),April
Ecuador,1993/94,100.0,(A/R),April
Indonesia,1993/94,1562.0,(R/A),April
Madagascar,1993/94,455.333,(R),April
Malawi,1993/94,25.0,(A),April
Papua New Guinea,1993/94,49.0,(A/R),April
Paraguay,1993/94,105.0,(A),April
Peru,1993/94,500.0,(A),April
Rwanda,1993/94,6.0,(A),April
Timor-Leste,1993/94,0.0,(A),April
Zimbabwe,1993/94,53.243,(A),April
"Congo, Rep. of",1993/94,11.0,(R),July
Cuba,1993/94,192.0,(A),July
Dominican Republic,1993/94,196.0,(A),July
Haiti,1993/94,30.0,(A),July
Philippines,1993/94,1102.0,(R/A),July
Tanzania,1993/94,200.4,(A/R),July
Zambia,1993/94,0.0,(A),July
Benin,1993/94,0.0,(R),October
Cameroon,1993/94,240.641,(R/A),October
Central African Republic,1993/94,14.0,(R),October
Colombia,1993/94,7224.0,(A),October
"Congo, Dem. Rep. of",1993/94,6.0,(R/A),October
Costa Rica,1993/94,190.0,(A),October
Côte d'Ivoire,1993/94,655.0,(R),October
El Salvador,1993/94,134.78,(A),October
Equatorial Guinea,1993/94,2.0,(R),October
Ethiopia,1993/94,3986.0,(A),October
Gabon,1993/94,0.2,(R),October
Ghana,1993/94,20.3,(R),October
Guatemala,1993/94,153.317,(A/R),October
Guinea,1993/94,8.334,(R),October
Guyana,1993/94,0.0,(R),October
Honduras,1993/94,100.0,(A),October
India,1993/94,1479.0,(R/A),October
Jamaica,1993/94,1.27,(A),October
Kenya,1993/94,470.673,(A),October
"Lao, People's Dem. Rep. of",1993/94,0.0,(R),October
Liberia,1993/94,0.0,(R),October
Mexico,1993/94,201.25,(A),October
Nepal,1993/94,0.0,(A),October
Nicaragua,1993/94,4.6,(A),October
Nigeria,1993/94,0.0,(R),October
Panama,1993/94,41.0,(A),October
Sierra Leone,1993/94,32.0,(R),October
Sri Lanka,1993/94,19.0,(R),October
Thailand,1993/94,253.0,(R/A),October
Togo,1993/94,25.0,(R),October
Trinidad & Tobago,1993/94,4.0,(R),October
Uganda,1993/94,3000.0,(R/A),October
Venezuela,1993/94,249.0,(A),October
Vietnam,1993/94,0.0,(R/A),October
Yemen,1993/94,0.0,(A),October
Angola,1994/95,96.0,(R/A),April
Bolivia,1994/95,11.0,(A),April
Brazil,1994/95,29227.0,(A/R),April
Burundi,1994/95,38.574,(A),April
Ecuador,1994/95,230.0,(A/R),April
Indonesia,1994/95,1644.0,(R/A),April
Madagascar,1994/95,15.833,(R),April
Malawi,1994/95,10.0,(A),April
Papua New Guinea,1994/95,38.0,(A/R),April
Paraguay,1994/95,100.0,(A),April
Peru,1994/95,120.0,(A),April
Rwanda,1994/95,1.2,(A),April
Timor-Leste,1994/95,0.0,(A),April
Zimbabwe,1994/95,0.0,(A),April
"Congo, Rep. of",1994/95,11.0,(R),July
Cuba,1994/95,151.0,(A),July
Dominican Republic,1994/95,193.0,(A),July
Haiti,1994/95,30.0,(A),July
Philippines,1994/95,1108.0,(R/A),July
Tanzania,1994/95,38.583,(A/R),July
Zambia,1994/95,0.0,(A),July
Benin,1994/95,0.0,(R),October
Cameroon,1994/95,198.198,(R/A),October
Central African Republic,1994/95,8.333,(R),October
Colombia,1994/95,3437.0,(A),October
"Congo, Dem. Rep. of",1994/95,81.0,(R/A),October
Costa Rica,1994/95,100.0,(A),October
Côte d'Ivoire,1994/95,183.335,(R),October
El Salvador,1994/95,199.92,(A),October
Equatorial Guinea,1994/95,0.2,(R),October
Ethiopia,1994/95,4219.0,(A),October
Gabon,1994/95,1.093,(R),October
Ghana,1994/95,21.0,(R),October
Guatemala,1994/95,240.0,(A/R),October
Guinea,1994/95,11.667,(R),October
Guyana,1994/95,0.0,(R),October
Honduras,1994/95,38.0,(A),October
India,1994/95,1020.0,(R/A),October
Jamaica,1994/95,8.921,(A),October
Kenya,1994/95,289.0,(A),October
"Lao, People's Dem. Rep. of",1994/95,0.0,(R),October
Liberia,1994/95,0.0,(R),October
Mexico,1994/95,884.0,(A),October
Nepal,1994/95,0.0,(A),October
Nicaragua,1994/95,11.1,(A),October
Nigeria,1994/95,0.0,(R),October
Panama,1994/95,21.71,(A),October
Sierra Leone,1994/95,0.0,(R),October
Sri Lanka,1994/95,5.0,(R),October
Thailand,1994/95,173.0,(R/A),October
Togo,1994/95,25.0,(R),October
Trinidad & Tobago,1994/95,0.0,(R),October
Uganda,1994/95,3000.0,(R/A),October
Venezuela,1994/95,250.0,(A),October
Vietnam,1994/95,0.0,(R/A),October
Yemen,1994/95,0.0,(A),October
Angola,1995/96,36.0,(R/A),April
Bolivia,1995/96,12.5,(A),April
Brazil,1995/96,32161.0,(A/R),April
Burundi,1995/96,120.59,(A),April
Ecuador,1995/96,100.0,(A/R),April
Indonesia,1995/96,1386.0,(R/A),April
Madagascar,1995/96,16.0,(R),April
Malawi,1995/96,5.0,(A),April
Papua New Guinea,1995/96,39.5,(A/R),April
Paraguay,1995/96,67.0,(A),April
Peru,1995/96,160.0,(A),April
Rwanda,1995/96,0.3,(A),April
Timor-Leste,1995/96,0.0,(A),April
Zimbabwe,1995/96,0.0,(A),April
"Congo, Rep. of",1995/96,0.0,(R),July
Cuba,1995/96,116.0,(A),July
Dominican Republic,1995/96,198.0,(A),July
Haiti,1995/96,27.0,(A),July
Philippines,1995/96,1107.0,(R/A),July
Tanzania,1995/96,86.5,(A/R),July
Zambia,1995/96,0.0,(A),July
Benin,1995/96,0.0,(R),October
Cameroon,1995/96,120.0,(R/A),October
Central African Republic,1995/96,8.333,(R),October
Colombia,1995/96,5582.0,(A),October
"Congo, Dem. Rep. of",1995/96,101.0,(R/A),October
Costa Rica,1995/96,309.0,(A),October
Côte d'Ivoire,1995/96,887.0,(R),October
El Salvador,1995/96,603.466,(A),October
Equatorial Guinea,1995/96,0.0,(R),October
Ethiopia,1995/96,4185.0,(A),October
Gabon,1995/96,1.0,(R),October
Ghana,1995/96,15.0,(R),October
Guatemala,1995/96,153.333,(A/R),October
Guinea,1995/96,12.0,(R),October
Guyana,1995/96,0.0,(R),October
Honduras,1995/96,329.1,(A),October
India,1995/96,934.0,(R/A),October
Jamaica,1995/96,14.179,(A),October
Kenya,1995/96,576.825,(A),October
"Lao, People's Dem. Rep. of",1995/96,0.0,(R),October
Liberia,1995/96,0.0,(R),October
Mexico,1995/96,899.0,(A),October
Nepal,1995/96,0.0,(A),October
Nicaragua,1995/96,40.9,(A),October
Nigeria,1995/96,0.0,(R),October
Panama,1995/96,49.779,(A),October
Sierra Leone,1995/96,0.0,(R),October
Sri Lanka,1995/96,5.0,(R),October
Thailand,1995/96,80.25,(R/A),October
Togo,1995/96,1.183,(R),October
Trinidad & Tobago,1995/96,0.0,(R),October
Uganda,1995/96,2520.0,(R/A),October
Venezuela,1995/96,250.0,(A),October
Vietnam,1995/96,158.0,(R/A),October
Yemen,1995/96,0.0,(A),October
Angola,1996/97,40.0,(R/A),April
Bolivia,1996/97,14.0,(A),April
Brazil,1996/97,26361.0,(A/R),April
Burundi,1996/97,88.5,(A),April
Ecuador,1996/97,200.0,(A/R),April
Indonesia,1996/97,166.667,(R/A),April
Madagascar,1996/97,2.033,(R),April
Malawi,1996/97,13.0,(A),April
Papua New Guinea,1996/97,40.0,(A/R),April
Paraguay,1996/97,55.0,(A),April
Peru,1996/97,0.0,(A),April
Rwanda,1996/97,10.679,(A),April
Timor-Leste,1996/97,0.0,(A),April
Zimbabwe,1996/97,9.594,(A),April
"Congo, Rep. of",1996/97,0.0,(R),July
Cuba,1996/97,84.1,(A),July
Dominican Republic,1996/97,180.0,(A),July
Haiti,1996/97,39.236,(A),July
Philippines,1996/97,1117.0,(R/A),July
Tanzania,1996/97,35.4,(A/R),July
Zambia,1996/97,0.0,(A),July
Benin,1996/97,0.0,(R),October
Cameroon,1996/97,175.0,(R/A),October
Central African Republic,1996/97,9.0,(R),October
Colombia,1996/97,6260.0,(A),October
"Congo, Dem. Rep. of",1996/97,84.57,(R/A),October
Costa Rica,1996/97,297.0,(A),October
Côte d'Ivoire,1996/97,469.0,(R),October
El Salvador,1996/97,663.044,(A),October
Equatorial Guinea,1996/97,0.0,(R),October
Ethiopia,1996/97,4018.0,(A),October
Gabon,1996/97,0.992,(R),October
Ghana,1996/97,36.0,(R),October
Guatemala,1996/97,131.661,(A/R),October
Guinea,1996/97,12.0,(R),October
Guyana,1996/97,0.0,(R),October
Honduras,1996/97,23.0,(A),October
India,1996/97,692.0,(R/A),October
Jamaica,1996/97,15.0,(A),October
Kenya,1996/97,295.574,(A),October
"Lao, People's Dem. Rep. of",1996/97,0.0,(R),October
Liberia,1996/97,0.0,(R),October
Mexico,1996/97,524.0,(A),October
Nepal,1996/97,0.0,(A),October
Nicaragua,1996/97,16.374,(A),October
Nigeria,1996/97,0.0,(R),October
Panama,1996/97,31.353,(A),October
Sierra Leone,1996/97,0.0,(R),October
Sri Lanka,1996/97,4.0,(R),October
Thailand,1996/97,87.133,(R/A),October
Togo,1996/97,0.533,(R),October
Trinidad & Tobago,1996/97,0.0,(R),October
Uganda,1996/97,1470.0,(R/A),October
Venezuela,1996/97,300.0,(A),October
Vietnam,1996/97,167.0,(R/A),October
Yemen,1996/97,0.0,(A),October
Angola,1997/98,40.0,(R/A),April
Bolivia,1997/98,2.0,(A),April
Brazil,1997/98,27298.0,(A/R),April
Burundi,1997/98,301.833,(A),April
Ecuador,1997/98,380.0,(A/R),April
Indonesia,1997/98,128.784,(R/A),April
Madagascar,1997/98,16.667,(R),April
Malawi,1997/98,2.0,(A),April
Papua New Guinea,1997/98,45.0,(A/R),April
Paraguay,1997/98,45.0,(A),April
Peru,1997/98,78.0,(A),April
Rwanda,1997/98,15.127,(A),April
Timor-Leste,1997/98,0.0,(A),April
Zimbabwe,1997/98,0.0,(A),April
"Congo, Rep. of",1997/98,0.0,(R),July
Cuba,1997/98,147.4,(A),July
Dominican Republic,1997/98,34.0,(A),July
Haiti,1997/98,25.0,(A),July
Philippines,1997/98,1148.0,(R/A),July
Tanzania,1997/98,15.0,(A/R),July
Zambia,1997/98,0.0,(A),July
Benin,1997/98,0.0,(R),October
Cameroon,1997/98,131.484,(R/A),October
Central African Republic,1997/98,5.886,(R),October
Colombia,1997/98,4203.0,(A),October
"Congo, Dem. Rep. of",1997/98,87.317,(R/A),October
Costa Rica,1997/98,79.0,(A),October
Côte d'Ivoire,1997/98,1372.5,(R),October
El Salvador,1997/98,129.068,(A),October
Equatorial Guinea,1997/98,0.0,(R),October
Ethiopia,1997/98,3935.0,(A),October
Gabon,1997/98,0.733,(R),October
Ghana,1997/98,37.225,(R),October
Guatemala,1997/98,132.0,(A/R),October
Guinea,1997/98,6.0,(R),October
Guyana,1997/98,0.0,(R),October
Honduras,1997/98,33.998,(A),October
India,1997/98,800.0,(R/A),October
Jamaica,1997/98,23.588,(A),October
Kenya,1997/98,103.0,(A),October
"Lao, People's Dem. Rep. of",1997/98,0.0,(R),October
Liberia,1997/98,0.0,(R),October
Mexico,1997/98,208.0,(A),October
Nepal,1997/98,0.0,(A),October
Nicaragua,1997/98,12.398,(A),October
Nigeria,1997/98,0.0,(R),October
Panama,1997/98,47.0,(A),October
Sierra Leone,1997/98,0.0,(R),October
Sri Lanka,1997/98,1.0,(R),October
Thailand,1997/98,54.3,(R/A),October
Togo,1997/98,0.0,(R),October
Trinidad & Tobago,1997/98,0.0,(R),October
Uganda,1997/98,571.71,(R/A),October
Venezuela,1997/98,319.0,(A),October
Vietnam,1997/98,200.0,(R/A),October
Yemen,1997/98,0.0,(A),October
Angola,1998/99,10.0,(R/A),April
Bolivia,1998/99,1.0,(A),April
Brazil,1998/99,26594.0,(A/R),April
Burundi,1998/99,3.584,(A),April
Ecuador,1998/99,160.0,(A/R),April
Indonesia,1998/99,709.035,(R/A),April
Madagascar,1998/99,40.0,(R),April
Malawi,1998/99,3.0,(A),April
Papua New Guinea,1998/99,38.3,(A/R),April
Paraguay,1998/99,40.0,(A),April
Peru,1998/99,98.0,(A),April
Rwanda,1998/99,1.89,(A),April
Timor-Leste,1998/99,0.0,(A),April
Zimbabwe,1998/99,0.0,(A),April
"Congo, Rep. of",1998/99,0.0,(R),July
Cuba,1998/99,140.2,(A),July
Dominican Republic,1998/99,245.0,(A),July
Haiti,1998/99,22.0,(A),July
Philippines,1998/99,1193.0,(R/A),July
Tanzania,1998/99,15.711,(A/R),July
Zambia,1998/99,0.0,(A),July
Benin,1998/99,0.0,(R),October
Cameroon,1998/99,133.333,(R/A),October
Central African Republic,1998/99,3.502,(R),October
Colombia,1998/99,3911.0,(A),October
"Congo, Dem. Rep. of",1998/99,97.847,(R/A),October
Costa Rica,1998/99,163.0,(A),October
Côte d'Ivoire,1998/99,437.5,(R),October
El Salvador,1998/99,227.232,(A),October
Equatorial Guinea,1998/99,0.0,(R),October
Ethiopia,1998/99,3178.0,(A),October
Gabon,1998/99,1.086,(R),October
Ghana,1998/99,44.0,(R),October
Guatemala,1998/99,161.0,(A/R),October
Guinea,1998/99,6.0,(R),October
Guyana,1998/99,0.0,(R),October
Honduras,1998/99,138.209,(A),October
India,1998/99,290.0,(R/A),October
Jamaica,1998/99,30.132,(A),October
Kenya,1998/99,129.0,(A),October
"Lao, People's Dem. Rep. of",1998/99,0.0,(R),October
Liberia,1998/99,0.0,(R),October
Mexico,1998/99,195.0,(A),October
Nepal,1998/99,0.0,(A),October
Nicaragua,1998/99,16.64,(A),October
Nigeria,1998/99,0.0,(R),October
Panama,1998/99,42.0,(A),October
Sierra Leone,1998/99,0.0,(R),October
Sri Lanka,1998/99,19.0,(R),October
Thailand,1998/99,172.4,(R/A),October
Togo,1998/99,42.552,(R),October
Trinidad & Tobago,1998/99,0.75,(R),October
Uganda,1998/99,878.05,(R/A),October
Venezuela,1998/99,145.0,(A),October
Vietnam,1998/99,250.0,(R/A),October
Yemen,1998/99,0.0,(A),October
Angola,1999/00,10.0,(R/A),April
Bolivia,1999/00,5.0,(A),April
Brazil,1999/00,30070.0,(A/R),April
Burundi,1999/00,101.726,(A),April
Ecuador,1999/00,100.0,(A/R),April
Indonesia,1999/00,707.751,(R/A),April
Madagascar,1999/00,42.133,(R),April
Malawi,1999/00,3.0,(A),April
Papua New Guinea,1999/00,47.664,(A/R),April
Paraguay,1999/00,36.0,(A),April
Peru,1999/00,88.0,(A),April
Rwanda,1999/00,2.306,(A),April
Timor-Leste,1999/00,0.0,(A),April
Zimbabwe,1999/00,10.0,(A),April
"Congo, Rep. of",1999/00,0.0,(R),July
Cuba,1999/00,116.2,(A),July
Dominican Republic,1999/00,254.295,(A),July
Haiti,1999/00,19.0,(A),July
Philippines,1999/00,1057.0,(R/A),July
Tanzania,1999/00,12.999,(A/R),July
Zambia,1999/00,0.0,(A),July
Benin,1999/00,0.0,(R),October
Cameroon,1999/00,120.0,(R/A),October
Central African Republic,1999/00,5.0,(R),October
Colombia,1999/00,2998.0,(A),October
"Congo, Dem. Rep. of",1999/00,93.636,(R/A),October
Costa Rica,1999/00,141.0,(A),October
Côte d'Ivoire,1999/00,115.0,(R),October
El Salvador,1999/00,278.53,(A),October
Equatorial Guinea,1999/00,0.0,(R),October
